ItemId,IssueNo
415,412
803,800
815,812
816,813
11149,1
11150,2
11182,1
11183,2
12890,1
12891,2
12892,3
12893,4
15081,1
15082,2
16197,21
16199,22
16201,23
16204,1
16216,28
16222,38
16223,33
16225,32
16226,31
16227,30
16276,1
16277,1
16287,39
16288,40
16289,41
16710,61
16711,29
16718,62
16719,21
16720,22
16721,29
16722,30
16723,37
16724,38
16725,46
16726,47
16727,55
16728,56
16729,64
16730,65
16731,73
16732,74
16733,82
16734,83
16735,91
16736,92
16737,100
16738,101
16739,102
16740,107
16741,108
16742,113
16743,123
16744,124
16745,135
16746,136
16747,137
16748,147
16749,148
16750,159
16751,160
16752,171
16753,172
16754,183
16755,184
16756,185
16867,28
16868,29
16869,30
16870,31
16918,10
16919,11
16920,12
16921,13
16922,14
16923,15
17110,107
17111,108
17112,109
17113,110
17114,111
17115,112
17116,113
17117,114
17145,1
17146,2
17160,643
17278,831
17279,217
17280,221
17281,222
17282,223
17283,224
17284,225
17285,827
17286,828
17287,830
17288,831
17289,832
17290,833
17291,834
17292,835
17293,1
17294,2
17295,3
17296,4
17297,5
17298,6
17299,7
17300,8
17301,9
17389,121
17390,122
17391,123
17392,124
17393,125
17539,4
17608,1
17609,2
17610,3
17611,4
17612,5
17613,6
17635,1
17636,2
17637,3
17638,4
17639,5
17640,6
17654,20
17663,24
17705,11
17708,13
17709,14
17710,15
17711,16
17817,17
17818,18
17819,19
17820,20
17821,21
17822,858
17841,21
17843,1
17844,1
17888,27
17889,28
17890,29
17891,30
17892,31
17893,32
17894,33
17895,34
26493,1
26494,2
26495,3
26496,4
29256,1
29257,2
29753,1
29754,2
29755,3
36548,29
36549,30
36550,31
36551,32
36552,33
37310,52
37311,52
58422,14
58424,16
69661,7
69665,11
69666,12
69668,14
69671,17
69674,21
82307,49
82308,50
82309,51
82310,52
82318,60
82319,61
82320,62
82334,76
82338,80
82339,81
82351,93
82354,96
82355,97
82356,98
82357,99
82358,100
82359,101
82360,102
82363,20
82364,21
82365,22
82369,28
82372,34
82373,35
82374,36
82375,37
82376,38
82377,39
82378,40
82379,41
82380,42
82381,43
82382,44
82386,48
82387,49
82388,50
82389,51
82392,54
82393,55
82394,56
82395,59
82396,60
82401,65
82402,66
82403,67
82404,68
82405,69
82406,70
82407,71
82408,72
82409,73
82410,74
82411,75
82412,76
82413,77
82414,78
82425,7
82426,8
82427,9
82428,10
82429,11
82436,20
82437,21
82438,22
82453,37
86643,31
86644,7
86759,27
86760,32
86761,33
86802,33
86822,24
86870,43
87072,12
87187,101
87247,1
87302,6
87303,37
87360,25
87555,12
88189,77
88243,81
88251,75
88275,77
88655,106
91244,1
91245,2
91246,3
91247,4
91248,5
91249,6
98868,54
99651,1
99652,2
99653,3
99654,4
99655,5
99656,6
99657,7
99658,8
99659,9
101810,1
101818,8
101829,27
101832,30
101834,34
101836,36
101837,37
101841,43
101842,44
101843,45
101844,46
101852,62
101892,118
102309,1
102310,2
102311,4
105085,26
106259,1
106260,2
106261,3
106262,4
106263,5
106264,6
106265,7
106266,8
106267,9
106268,10
106269,11
106270,12
106277,19
106278,20
106279,21
106280,22
106281,23
106282,24
106283,25
106284,26
106285,27
106286,28
106287,29
106288,30
106301,43
106828,1
106829,2
106830,3
106831,4
106832,5
106833,6
106834,7
106835,8
106836,9
106840,13
106841,14
106842,15
106843,16
106844,17
108492,5
108493,6
108494,7
108495,12
108496,34
109181,1
109182,2
109183,4
109184,5
109185,6
109188,8
109189,9
109190,10
109205,1
109206,2
109207,3
109208,4
109209,5
111346,2
111477,50
111692,1
111717,50
112363,1
112364,2
112365,3
112366,4
112367,5
113519,1
113520,2
113521,2
113522,3
113538,5
113539,6
113540,6
113541,7
113542,8
113543,8
113544,9
114893,1
114894,2
118941,8
118943,10
118945,12
