10002,"the whole Judge Dredd line shares this Series id — the 2000AD progs in eight parts, the Eagle reprints (1983, 1986) and IDW's 2013 and 2016 series — and 132 numbers name more than one file"
100048,"two files, neither numbered above #0; both providers say #1-4 and neither covers a file"
100132,six Superboy runs share this Series id and thirty issue numbers each name more than one file; LOCG's #13-259 on Vol. 02 covers 169 issue files
10020,"the shelf is one eight-issue run split into two trades; ComicVine put Volume 2's range on Vol. 01, over the four files we hold"
10056,chapter ranges read from each archive's own page names; the ladder tiles (c1-c199 over 22 volumes)
10105,"the four books are Justice League 3000/3001, a different comic that numbers from #1; none of its issues is in this library"
10105,"GCD's #40-44 and #45-50 are plausible for JL 3000 and landed on Justice League (2011) #40-50, nesting the Darkseid War arc twice over"
101296,"an issue and an annual both read as #1 here, so a range starting at #1 cannot tell them apart"
10146,"the three digests are thematic anthologies drawing six chapters each from Adventures in the DC Universe, Justice League Adventures and JLU - no contiguous range describes them"
10146,"Time After Time's copyright page names 'League Adventures 28, 30, 34, Justice League Unlimited 9, 19' - it holds JLU #9 and #19 and nothing between"
10146,"LOCG's #9-34 and #11-40 are the HULLS of those scattered lists, which is what a span becomes when a source flattens a list"
101659,"CLAMP's X, split off a four-way conflation; the ranges are volume coordinates, three per book as each title says"
101660,both omnibuses refused; their back covers give a page count and no issue list
101685,"one run (#1-12); the three chronology arc folders are one numbering, not three runs"
10183,twenty-eight unnumbered variant covers and one collection; LOCG's #1-7 covers no file
101949,"all three archives name the chapter and the volume on every page; the chapter ladder runs c1-c32 straight across them (10 + 11 + 11), so it is a running coordinate and not a within-volume ordinal. The shelf holds only v01-v03 of the 48-volume run"
102026,"the Valiant chronology, Dynamite's 2014 relaunch and a Dark Horse archive share this shelf; #1-#4 each name several files"
102074,"Night Force v1 (1982), v2 (1996) and v3 (2012) share this Series id; #1-#7 each name more than one file"
10212,chapter ranges read from each archive's own page names; the ladder tiles (c1-c17 over 3 volumes)
10235,chapter ranges read from each archive's own page names; the ladder tiles (c1-c81 over 10 volumes)
102366,"three Thunderbolts runs (1997, 2011, 2016) and three collection lines share this Series id; three different books are Vol. 01 and the shelf's numbering spans all three runs"
102386,Generation X v1 (1994) is filed twice and the 2017 relaunch shares its numbering — sixty numbers name more than one file — and two collection lines both start at Vol. 01
10239,Kaijumax numbers each season from #1 and each Deluxe Edition holds two seasons; the shelf's #1-#6 do not identify a season
102434,read out of the three-run shelf S22135; the range its own back cover states is safe here and was not there
102435,Vol. 02 read; Vol. 03 by complement with the arithmetic agreeing; Vol. 01 refused because the arithmetic contradicts the complement
102436,"both refused; no issue of this run is on the shelf, so no range here could hide a file"
102437,split out of the five-part shelf; refused pending a per-volume contents read - the rips carry no chapter token
102438,split out of the five-part shelf; refused pending a per-volume contents read - the rips carry no chapter token
102439,split out of the five-part shelf; refused pending a per-volume contents read - the rips carry no chapter token
102440,split out of the five-part shelf; refused pending a per-volume contents read - the rips carry no chapter token
102441,read out of the five-part shelf S57289; the chapter ladder tiles c1-155 with no gap
102442,the three omnibuses tile c1-54; the shelf's chapters c55-69 are collected by no book we hold
10248,chapter ranges read from each archive's own page names; the ladder tiles (c17-c33 over 3 volumes)
10249,chapter ranges read from each archive's own page names; the ladder tiles (c1-c54 over 10 volumes)
10281,chapter ranges read from each archive's own page names; the ladder tiles (c1-c126 over 14 volumes)
