ItemId,IssueNo
17418,649
17094,625
17095,626
17096,627
17097,628
17098,629
17099,630
17100,631
17101,632
17103,633
17104,634
17105,635
17106,636
17107,637
17108,638
17196,640
17197,641
17198,644
17199,645
17200,646
17201,647
17162,220
4849,6
53434,1
53435,2
53436,3
53437,4
53438,5
53439,6
16712,36
11147,9
16375,0
11159,11
11175,28
63224,45
34482,2
34483,3
34484,5
34485,6
34486,7
34487,8
34488,9
109859,1
23035,1
16222,38
16223,33
16225,32
16226,31
16227,30
16224,1
16270,0
17828,1
17829,2
17830,3
17831,4
17832,5
17833,6
17834,7
17835,8
17873,851
17875,852
106460,31
106461,32
106462,33
106533,104
106534,105
106535,106
106536,107
106537,108
106538,109
106539,110
106540,111
106541,112
106542,113
106543,114
106544,115
106545,116
106546,117
106547,118
106548,119
106549,120
106550,121
106551,122
106552,123
106553,124
106554,125
106555,126
106556,127
106557,128
106558,129
106560,131
106561,132
106562,133
106563,134
106564,135
106565,136
106566,137
106571,142
106572,143
106575,146
106576,147
106577,148
106578,149
106579,150
106580,151
106581,152
106582,153
106583,154
106584,155
106585,156
106586,157
106587,158
106588,159
106589,160
106590,161
106594,165
106679,250
106680,251
106681,252
106682,253
106683,254
106684,255
106685,256
106686,257
106687,258
106688,259
106689,260
106690,261
106691,262
106692,263
106693,264
106694,265
106695,266
106696,267
106697,268
106698,269
106699,270
106700,271
106710,281
16292,43
17643,25
17646,21
17648,22
17650,23
17655,24
16707,40
16715,45
16716,52
16826,48
16827,49
16828,50
16829,51
16830,52
16831,53
16832,54
16833,55
17130,1
17131,2
17132,3
17133,4
17134,5
17135,6
17428,7
17469,7
17429,8
17470,8
17430,9
17471,9
17431,10
17472,10
17432,11
17473,11
17433,12
17474,12
17434,13
17475,13
17476,14
17477,15
17478,16
17479,17
17480,18
17481,19
17482,20
105834,0
105840,10
105841,11
105842,12
105843,13
105844,14
105845,15
105846,16
105847,17
105848,18
105849,19
105850,20
105851,21
105852,22
105853,23
105854,24
105855,25
105856,26
105857,27
105858,28
105861,30
105862,31
105871,36
105872,37
105873,38
105874,39
105877,41
105878,42
105879,43
105880,44
105881,45
105882,46
105883,47
105884,48
105885,49
16217,20
16242,21
16261,27
16271,29
16281,33
16243,22
16218,23
16262,28
16272,30
16282,34
16198,14
16213,19
16219,24
16273,31
16283,35
17662,23
16220,25
16274,32
16284,36
16200,15
16221,26
16285,37
17664,25
16286,38
16203,16
17642,18
17647,14
17649,15
17656,17
17425,27
17046,1
17047,2
17048,3
17049,4
17050,5
17051,6
17052,8
17053,9
17054,10
17055,11
17056,12
17057,13
17059,14
17060,15
17061,16
17062,17
17063,18
17058,19
17064,20
17065,21
17066,22
17067,23
17068,24
17069,25
28065,2
28066,3
28105,42
28106,43
28107,44
28109,46
28120,57
28124,61
28125,62
28128,65
28131,68
28132,69
28133,70
28136,73
28137,74
28139,76
28141,78
28142,79
1475,1
1476,2
1477,3
1478,4
1479,5
1480,6
1481,7
1482,8
1483,9
1484,10
1485,11
1486,12
1487,13
1488,14
1489,15
1490,16
86454,3
86455,36
86456,37
86457,38
86458,39
86459,40
86460,41
86461,42
86462,43
86463,44
86464,47
86465,48
86466,49
86467,50
70108,105
70109,106
70110,107
70111,108
70112,109
70113,110
70114,111
70115,112
70116,113
70118,115
70119,116
70120,117
1,0
415,412
803,800
815,812
816,813
109181,1
109182,2
109183,4
109184,5
109185,6
109187,7
109188,8
109189,9
109190,10
16275,1
16369,2
16370,3
16371,4
16372,5
16373,6
16374,7
17071,1
17072,2
17073,3
17074,4
17075,5
17076,6
17077,7
26513,1
26514,2
26515,3
26516,4
26517,5
26518,6
26519,7
26520,8
17347,1
17348,2
17349,3
17351,4
17353,5
17354,6
17877,152
17878,153
17495,118
17496,119
17497,120
17498,121
17499,122
17712,7
17713,8
17714,9
17715,10
17716,11
17717,12
17530,1
17531,2
17532,3
17533,4
17534,5
17535,6
38729,545
38730,546
38731,547
38732,548
38733,543
38734,544
23321,1
23322,2
23323,3
23324,4
23325,5
23327,7
118959,12
118961,14
118963,16
118965,25
118971,31
118972,32
12823,1
12824,2
12825,3
12826,4
12827,5
28688,1
28689,2
28690,3
28691,4
17124,1
17125,2
17127,4
17128,5
26498,1
26499,2
26500,3
26501,4
103847,1
103848,1
103849,2
103850,2
24805,1
24806,2
24807,3
24808,4
113832,32
113844,37
113845,39
106255,2
106256,3
106257,4
15081,1
15082,2
114873,2
114875,4
17920,1
17921,2
109269,1
109270,2
20706,2
20708,4
109302,1
109303,2
17606,226
16202,1
17651,1
23550,2
23551,3
113617,3
69739,3
69740,3
91231,1
91232,2
115567,14
115568,15
11428,22
11433,21
37488,1
37944,1
