# shelves from the split lane (new + kept halves) — feed to next_batch.py --revisit-file
# S<sid>	<key>	run=<json|->	<P- file>	new|kept|kept-whole[	pair=<origin sid>][	moved_cv=<id>,…][	pending_join=<sid>,…]
# kept-whole = a `split: false` shelf (nothing moved): its F split-needed stands until an identity batch re-reads it as one run
# pair = the shelf the split took this row's items from (a kept row is its own pair): --revisit-file never cuts a batch inside a pair group
S1436	Astro City Metrobook Book	run=-	P-004.jsonl	new	pair=1431
S102733	Astro City Special (2004)	run={"cv": 25753, "gcd": 12140}	P-004.jsonl	new	pair=1431
S102734	Astro City: That Was Then... Special (2022)	run={"cv": 142090, "gcd": 183339}	P-004.jsonl	new	pair=1431
S102731	Astro City / Arrowsmith Flip Book (2004)	run={"cv": 25754, "gcd": 13136}	P-004.jsonl	new	pair=1431
S102736	Ben 10: For Science! (2019)	run={"cv": 120302}	P-004.jsonl	new	pair=2425
S102737	Ben 10: Mecha Madness (2019)	run={"cv": 122802}	P-004.jsonl	new	pair=2425
S102739	Ben 10: The Manchester Mystery (2020)	run={"cv": 125468, "gcd": 216033}	P-004.jsonl	new	pair=2425
S102738	Ben 10: The Creature from Serenity Shore (2020)	run={"cv": 129456, "gcd": 162754}	P-004.jsonl	new	pair=2425
S102740	Britannia: The Great Fire of Rome (2024)	run={"gcd": 214117}	P-004.jsonl	new	pair=3181
S102744	Casanova: Acedia (2015)	run={"cv": 79742, "gcd": 86099}	P-004.jsonl	new	pair=3644
S102767	Divinity II (2016)	run={"cv": 89778, "gcd": 100119}	P-004.jsonl	new	pair=5571
S102769	Divinity III: Stalinverse (2016)	run={"cv": 97037, "gcd": 110719}	P-004.jsonl	new	pair=5571
S102768	Divinity III: Heroes of the Glorious Stalinverse (2017)	run={"cv": 102111, "gcd": 114754}	P-004.jsonl	new	pair=5571
S102766	Divinity #0 (2017)	run={"cv": 103511, "gcd": 115978}	P-004.jsonl	new	pair=5571
S102871	Walt Disney's Donald Duck (1952)	run=-	P-004.jsonl	new	pair=5732
S102773	E-Ratic (2020)	run={"cv": 132400, "gcd": 167181}	P-004.jsonl	new	pair=5963
S4323	Creepy Creatures	run=-	P-004.jsonl	new	pair=7792
S102776	Goosebumps: Download and Die (2018)	run={"cv": 109431, "gcd": 148496}	P-004.jsonl	new	pair=7792
