# shelves with a NEAR re-probe hit (all their hit rows), stored CV excluded; from reprobe.tsv, TOOLS_TODO 32
S21	g	provider-missing: CV 80982 "Rise of the Conqueror" 2015 Red Element 2 issues — near (gap 0), found by 'Rise of the Conqueror' (via CV candidate name "Rise of the Conqueror"); invisible before TODO 30
S51	g	provider-missing: CV 98765 "Thrill-Power Overload: Forty Years of 2000 AD: Revised, Updated and Expanded!" 2017 Rebellion 1 issues — near (gap 0), found by 'Thrill-Power Overload: Forty Years of 2000 AD: Revised, Updated and Expanded!' (via CV candidate name "Thrill-Power Overload: Forty Years of 2000 AD: Revised, Updated and Expanded!"); invisible before TODO 30
S80	g	provider-missing: CV 105081 "3 O'clock Club: School's Out... of Control" 2017 Lion Forge Comics 1 issues — near (gap 1), found by '3 O'clock Club: School's Out... of Control' (via CV candidate name "3 O'clock Club: School's Out... of Control"); invisible before TODO 30
S174	g	provider-missing: CV 154888 "Lovecraft: The Call of Cthulhu" 2023 Zenescope Entertainment 1 issues — near (gap 0), found by 'Lovecraft: The Call of Cthulhu' (via CV candidate name "Lovecraft: The Call of Cthulhu"); invisible before TODO 30
S174	g	provider-missing: CV 134443 "The Call of Cthulhu and Dagon: A Graphic Novel" 2021 Printers Row 1 issues — far (gap 2), found by 'The Call of Cthulhu and Dagon: A Graphic Novel' (via CV candidate name "The Call of Cthulhu and Dagon: A Graphic Novel"); invisible before TODO 30
S207	g	provider-missing: CV 125697 "Zombie Tramp: A Dead Girl in Europe" 2020 Action Lab 1 issues — near (gap 0), found by 'Zombie Tramp: A Dead Girl in Europe' (via CV candidate name "Zombie Tramp: A Dead Girl in Europe"); invisible before TODO 30
S248	g	provider-missing: CV 135489 "A Taste of Fantasy" 2021 Harlequin Comics 1 issues — near (gap 1), found by 'A Taste of Fantasy' (via CV candidate name "A Taste of Fantasy"); invisible before TODO 30
S256	g	provider-missing: CV 95442 "A Treasury of XXth Century Murder: Black Dahlia" 2016 NBM 1 issues — near (gap 1), found by 'A Treasury of XXth Century Murder: Black Dahlia' (via CV candidate name "A Treasury of XXth Century Murder: Black Dahlia"); invisible before TODO 30
S256	g	provider-missing: CV 56423 "A Treasury of Victorian Murder Compendium" 2013 NBM 2 issues — far (gap 4), found by 'A Treasury of Victorian Murder Compendium' (via CV candidate name "A Treasury of Victorian Murder Compendium"); invisible before TODO 30
S491	g	provider-missing: CV 139211 "After the Fall" 2021 Magnetic Press 1 issues — near (gap 0), found by 'After the Fall' (own spelling); invisible before TODO 30
S491	g	provider-missing: CV 130453 "After the Fall" 2020 Goldfinger Platinum Factory 1 issues — near (gap 1), found by 'After the Fall' (own spelling); invisible before TODO 30
S681	g	provider-missing: CV 20054 "Buffy The Vampire Slayer: Panel to Panel" 2007 Dark Horse Comics 1 issues — near (gap 1), found by 'Buffy The Vampire Slayer: Panel to Panel' (via CV candidate name "Buffy The Vampire Slayer: Panel to Panel"); invisible before TODO 30
S681	g	provider-missing: CV 80730 "Buffy The Vampire Slayer: Panel To Panel: Seasons 8 & 9" 2015 Dark Horse Comics 1 issues — far (gap 9), found by 'Buffy The Vampire Slayer: Panel To Panel: Seasons 8 & 9' (via CV candidate name "Buffy The Vampire Slayer: Panel To Panel: Seasons 8 & 9"); invisible before TODO 30
S754	g	S cv=-: CV 90093 "All-New X-Men: Inevitable: Ghosts of Cyclops" 2016 Marvel 1 issues — near (gap 0), found by 'All-New X-Men: Inevitable: Ghosts of Cyclops' (via CV candidate name "All-New X-Men: Inevitable: Ghosts of Cyclops"); invisible before TODO 30
S924	g	provider-missing: CV 60948 "Amelia Cole and the Hidden War" 2013 MonkeyBrain Comics 6 issues — near (gap 1), found by 'Amelia Cole and the Hidden War' (via CV candidate name "Amelia Cole and the Hidden War"); invisible before TODO 30
S924	g	provider-missing: CV 66323 "Amelia Cole and the Unknown World" 2013 IDW Publishing 1 issues — near (gap 1), found by 'Amelia Cole and the Unknown World' (own spelling); invisible before TODO 30
