ItemId,PreviousParsedSeriesKey,NewParsedSeriesKey,SeriesIdAtSplit
55117,The Fury of Firestorm - The Nuclear Men - God Particle (1982),The Fury of Firestorm: The Nuclear Men,65956
69915,Static,Strange Adventures v1 (1950),16815
14629,Static,Static (2021),16815
16795,Justice League International,Justice League International v1 (1987),10137
18264,Nightwing (1996),Nightwing v3 (2011),65356
19073,Nightwing (1996),Nightwing v4 (2016),65356
19076,Nightwing (1996),Nightwing v4 (2016),65356
61476,Nightwing (1996),Nightwing v4 (2016),65356
61477,Nightwing (1996),Nightwing v4 (2016),65356
57839,Outsiders (1993),The Outsiders v1 (1985),58099
57840,Outsiders (1993),The Outsiders v1 (1985),58099
61459,The Joker War Saga,Batman v3 (2020),95394
55144,Batman (2016-),Ghost-Maker/Clownhunter by James Tynion,95394
59004,Batman v3 (2020),Batman - Faux-simile Edition,95396
19101,Deathstroke,Deathstroke v4 (2016),5272
16292,Green Lantern,Green Lantern v4 (2005),34675
18021,Green Lantern,Green Lantern v3 (1990),34675
18050,Lobo,Lobo v2 (1993),10820
68171,Lobo,Lobo by Keith Giffen & Alan Grant,10820
65629,Tales of The Green Lantern Corps,Tales of the Green Lantern Corps v1 (1981),36640
65630,Tales of The Green Lantern Corps,Tales of the Green Lantern Corps v1 (1981),36640
65631,Tales of The Green Lantern Corps,Tales of the Green Lantern Corps v1 (1981),36640
15436,Tales of the Green Lantern Corps,Tales of the Green Lantern Corps Annual,36640
15461,Tales of the Green Lantern Corps,Tales of the Green Lantern Corps Annual,36640
15483,Tales of the Green Lantern Corps,Tales of the Green Lantern Corps Annual,36640
67001,Justice League Beyond,Justice League Beyond (2012),10125
67002,Justice League Beyond,Justice League Beyond (2012),10125
66694,Justice League Unlimited,Justice League Unlimited (2025),10146
66695,Justice League Unlimited,Justice League Unlimited (2025),10146
66696,Justice League Unlimited,Justice League Unlimited (2025),10146
66697,Justice League Unlimited,Justice League Unlimited (2025),10146
66698,Justice League Unlimited,Justice League Unlimited (2025),10146
66699,Justice League Unlimited,Justice League Unlimited (2025),10146
66700,Justice League Unlimited,Justice League Unlimited (2025),10146
66701,Justice League Unlimited,Justice League Unlimited (2025),10146
66702,Justice League Unlimited,Justice League Unlimited (2025),10146
19145,Crisis on Multiple Earths (2021),Crisis on Multiple Earths v2 (2021),64455
67982,Crisis on Multiple Earths (2021),Crisis on Multiple Earths v2 (2021),64455
19146,Crisis on Multiple Earths (2021),Crisis on Multiple Earths v2 (2021),64455
19147,Crisis on Multiple Earths (2002),Crisis on Multiple Earths v2 (2021),64455
66798,JLA,JLA: Year One (1998),9704
66799,JLA,JLA: Year One (1998),9704
66800,JLA,JLA: Year One (1998),9704
66801,JLA,JLA: Year One (1998),9704
66802,JLA,JLA: Year One (1998),9704
66803,JLA,JLA: Year One (1998),9704
66804,JLA,JLA: Year One (1998),9704
66805,JLA,JLA: Year One (1998),9704
66806,JLA,JLA: Year One (1998),9704
66807,JLA,JLA: Year One (1998),9704
66808,JLA,JLA: Year One (1998),9704
66809,JLA,JLA: Year One (1998),9704
67542,JLA,JLA: Year One (1998),9704
66855,Justice League,Justice League 3000 (2013),10105
66856,Justice League,Justice League 3000 (2013),10105
66857,Justice League,Justice League 3001 (2015),10105
66858,Justice League,Justice League 3001 (2015),10105
19084,Justice League,Justice League v3 (2016),10105
19085,Justice League,Justice League v3 (2016),10105
