# shelves from the split lane (new + kept halves) — feed to next_batch.py --revisit-file
# S<sid>	<key>	run=<json|->	<P- file>	new|kept[	pending_join=<sid>,…]
S102593	DC Retroactive: Batman - The '80s (2011)	run={"cv": 41622, "gcd": 60368}	P-003.jsonl	new
S102594	DC Retroactive: Batman - The '90s (2011)	run={"cv": 42122, "gcd": 60560}	P-003.jsonl	new
S102595	DC Retroactive: Green Lantern - The '80s (2011)	run={"cv": 41956, "gcd": 60462}	P-003.jsonl	new
S102596	DC Retroactive: Green Lantern - The '90s (2011)	run={"cv": 42311, "gcd": 60632}	P-003.jsonl	new
S102597	DC Retroactive: JLA - The '80s (2011)	run={"cv": 41927, "gcd": 60460}	P-003.jsonl	new
S102598	DC Retroactive: JLA - The '90s (2011)	run={"cv": 42360, "gcd": 60633}	P-003.jsonl	new
S102599	DC Retroactive: Superman - The '80s (2011)	run={"cv": 41926, "gcd": 60461}	P-003.jsonl	new
S102600	DC Retroactive: Superman - The '90s (2011)	run={"cv": 42277, "gcd": 60631}	P-003.jsonl	new
S4585	DC Retroactive: Wonder Woman - The 80s	run=-	P-003.jsonl	new
S4586	DC Retroactive: Wonder Woman - The 90s	run=-	P-003.jsonl	new
S102633	Harley Quinn: The Arkham Asylum Files (2023)	run={"cv": 154736}	P-003.jsonl	new
S102634	Harley Quinn: Uncovered (2023)	run={"cv": 146824, "gcd": 193754}	P-003.jsonl	new
S102605	DCU Halloween Special '09 (2009)	run={"cv": 28830, "gcd": 39999}	P-003.jsonl	new
S102606	DCU Halloween Special 2010 (2010)	run={"cv": 36257, "gcd": 52929}	P-003.jsonl	new
S102607	DIE!namite Lives! (2021)	run={"cv": 136832, "gcd": 173029}	P-003.jsonl	new
S102608	DIE!namite Never Dies! (2022)	run={"cv": 141851, "gcd": 182269}	P-003.jsonl	new
S96256	Daredevil v7 (2022)	run=-	P-003.jsonl	new
S102610	Days Missing: Enox (2016)	run={"cv": 95585}	P-003.jsonl	new
S102612	Death (1980)	run={"gcd": 92973}	P-003.jsonl	new
