ItemId,PreviousParsedSeriesKey,NewParsedSeriesKey,SeriesIdAtSplit
114186,Nancy and Sluggo,Nancy and Sluggo (1949),12702
114187,Nancy and Sluggo,Nancy and Sluggo (1949),12702
114188,Nancy and Sluggo,Nancy and Sluggo (1949),12702
114189,Nancy and Sluggo,Nancy and Sluggo (1949),12702
114190,Nancy and Sluggo,Nancy and Sluggo (1949),12702
51930,Armor Wars,Armor Wars - Warzones!,1309
116000,Robyn Hood,Van Helsing vs Robyn Hood,14768
10657,Rugrats,Rugrats (2017),14855
10658,Rugrats,Rugrats (2017),14855
117277,Siege,Dark Avengers,15597
117282,Siege,Thor v1 (2009),15597
116307,Avengers Epic Collection - The Avengers-Defenders War,Avengers Epic Collection,1590
112362,Black Orchid v2 (1993),Black Orchid (1993),95614
