ItemId,PreviousParsedSeriesKey,NewParsedSeriesKey,SeriesIdAtSplit
88505,Marvel Fanfare,Marvel Fanfare v2 (1996),11410
88506,Marvel Fanfare,Marvel Fanfare v2 (1996),11410
88507,Marvel Fanfare,Marvel Fanfare v2 (1996),11410
88515,Marvel Fanfare,Marvel Fanfare v2 (1996),11410
100652,Marvel Fanfare,Marvel Fanfare v2 (1996),11410
86628,Marvel Tales,Marvel Tales v2 (1964),11600
86687,Marvel Tales,Marvel Tales v2 (1964),11600
101472,Marvel Two-In-One Epic Collection: Cry Monster,Marvel Two-In-One Epic Collection,11634
101937,Monsters Unleashed v1 (2017),Champions,12313
82875,Marvel Spotlight (1971),Marvel Spotlight v2 (1979),65153
82876,Marvel Spotlight (1971),Marvel Spotlight v2 (1979),65153
