ItemId,PreviousParsedSeriesKey,NewParsedSeriesKey,SeriesIdAtSplit
30375,Ben,Ben 10 Classics,2424
30376,Ben,Ben 10 Classics,2424
30377,Ben,Ben 10 Classics,2424
30378,Ben,Ben 10 Classics,2424
31596,"Genius, Illustrated - The Life and Art of Alex Toth","Genius, Illustrated: The Life and Art of Alex Toth (2013)",7365
31597,"Genius, Animated - The Cartoon Art of Alex Toth","Genius, Animated: The Cartoon Art of Alex Toth (2014)",7365
31644,The Rocketeer - The-Spirit - Pulp-Friction,The Rocketeer/The Spirit: Pulp Friction (2013),19479
34962,Four Eyes,Four Eyes: Hearts of Fire (2016),6891
36920,Monolith,Monolith v1 (2024),12294
36921,Monolith,Monolith v1 (2024),12294
36922,Monolith,Monolith v1 (2024),12294
