ItemId,PreviousParsedSeriesKey,NewParsedSeriesKey,SeriesIdAtSplit
78994,Doctor Strange v5 (2018),Doctor Strange by Mark Waid,64591
78995,Doctor Strange v5 (2018),Doctor Strange by Mark Waid,64591
80257,Ghost Rider (1973),Ghost Rider Epic Collection (2022),64767
80231,Ghost Rider (1973),Ghost Rider v10 (2022),64767
116883,Ghost Rider (1973),Ghost Rider v6 (2006),64767
116884,Ghost Rider (1973),Ghost Rider v6 (2006),64767
87798,Ghost Rider (1973),Ghost Rider v3 (1990),64767
87800,Ghost Rider (1973),Ghost Rider v3 (1990),64767
87802,Ghost Rider (1973),Ghost Rider v3 (1990),64767
88307,Ghost Rider (1973),Ghost Rider v3 (1990),64767
88308,Ghost Rider (1973),Ghost Rider v3 (1990),64767
80213,Ghost Rider: The Complete Series by Rob Williams (1973),Ghost Rider (2011),64767
80223,Spirits of Ghost Rider: Mother of Demons,Spirits of Ghost Rider: Mother of Demons (2020),64767
