ItemId,PreviousParsedSeriesKey,NewParsedSeriesKey,SeriesIdAtSplit
72823,Superman: The Man of Steel (2020),Superman: The Man of Steel v3 (2020),17327
72824,Superman: The Man of Steel (2020),Superman: The Man of Steel v3 (2020),17327
72825,Superman: The Man of Steel (2020),Superman: The Man of Steel v3 (2020),17327
72826,Superman: The Man of Steel (1991),Superman: The Man of Steel v3 (2020),17327
72827,Superman: The Man of Steel (1991),Superman: The Man of Steel v2 (2003),17327
72828,Superman: The Man of Steel (1991),Superman: The Man of Steel v2 (2003),17327
72829,Superman: The Man of Steel (1991),Superman: The Man of Steel v2 (2003),17327
72830,Superman: The Man of Steel (1991),Superman: The Man of Steel v2 (2003),17327
72831,Superman: The Man of Steel (1991),Superman: The Man of Steel v2 (2003),17327
19610,Teen Titans (2003),Teen Titans: Raven (2019),65856
19611,Teen Titans (2003),Teen Titans: Beast Boy (2020),65856
19612,Teen Titans (2003),Teen Titans: Beast Boy Loves Raven (2021),65856
19613,Teen Titans (2003),Teen Titans: Robin (2023),65856
19614,Teen Titans (2003),Teen Titans: Starfire (2024),65856
18992,Teen Titans (2003),Teen Titans v5 (2014),65856
76522,Young Justice: Sins of Youth,Young Justice: Sins of Youth (2000),22701
76533,Young Justice: Sins of Youth,Young Justice: Sins of Youth (2000),22701
76546,Young Justice: Sins of Youth,Young Justice: Sins of Youth (2000),22701
71905,Superman v1 (1939),Superman v2 (1987),65813
16717,The Spectre (1992),The Spectre v1 (1967),66071
16389,Titans,Titans v2 (2008),101050
16402,Titans,Titans v2 (2008),101050
16418,Titans,Titans v2 (2008),101050
16435,Titans,Titans v2 (2008),101050
16443,Titans,Titans v2 (2008),101050
19099,Titans,Titans v3 (2016),101050
76060,Wonder Woman v2 (1986),Wonder Woman v1 (1942),101470
76061,Wonder Woman v2 (1986),Wonder Woman v1 (1942),101470
76062,Wonder Woman v2 (1986),Wonder Woman v1 (1942),101470
