# shelves from the split lane (new + kept halves) — feed to next_batch.py --revisit-file
# S<sid>	<key>	run=<json|->	<P- file>	new|kept|kept-whole[	pair=<origin sid>][	moved_cv=<id>,…][	pending_join=<sid>,…]
# kept-whole = a `split: false` shelf (nothing moved): its F split-needed stands until an identity batch re-reads it as one run
# pair = the shelf the split took this row's items from (a kept row is its own pair): --revisit-file never cuts a batch inside a pair group
S103951	American Mythology Monsters Vol 2 (2021)	run={"cv": 137574, "gcd": 187848}	P-032.jsonl	new	pair=95056
S103953	Archie and Me Comics Digest (2017)	run={"cv": 105297, "gcd": 117633}	P-032.jsonl	new	pair=1216
S103952	Animosity: The Rise (2017)	run={"cv": 98321, "gcd": 111710}	P-032.jsonl	new	pair=1061
S103956	Tom Strong and the Robots of Doom Mini (2010)	run={"cv": 33669, "gcd": 49878}	P-032.jsonl	new	pair=66125
S103955	Tom Strong and the Planet of Peril (2013)	run={"cv": 65918, "gcd": 75728}	P-032.jsonl	new	pair=66125
S103954	Sabrina (2000)	run={"cv": 7298, "gcd": 7875}	P-032.jsonl	new	pair=14949
S95056	moved out -> S103951 "American Mythology Monsters Vol 2 (2021)"	run=-	P-032.jsonl	kept	pair=95056	moved_cv=137574
S1216	moved out -> S103953 "Archie and Me Comics Digest (2017)"	run=-	P-032.jsonl	kept	pair=1216	moved_cv=105297
S1061	moved out -> S103952 "Animosity: The Rise (2017)"	run=-	P-032.jsonl	kept	pair=1061	moved_cv=98321
S66125	moved out -> S103956 "Tom Strong and the Robots of Doom Mini (2010)"; S103955 "Tom Strong and the Planet of Peril (2013)"	run=-	P-032.jsonl	kept	pair=66125	moved_cv=33669,65918
S14949	moved out -> S103954 "Sabrina (2000)"	run=-	P-032.jsonl	kept	pair=14949	moved_cv=7298
