# shelves from the split lane (new + kept halves) — feed to next_batch.py --revisit-file
# S<sid>	<key>	run=<json|->	<P- file>	new|kept|kept-whole[	pair=<origin sid>][	moved_cv=<id>,…][	pending_join=<sid>,…]
# kept-whole = a `split: false` shelf (nothing moved): its F split-needed stands until an identity batch re-reads it as one run
# pair = the shelf the split took this row's items from (a kept row is its own pair): --revisit-file never cuts a batch inside a pair group
S104017	Superman: The Man of Steel v3 (2020)	run={"cv": 129773, "gcd": 163210}	P-041.jsonl	new	pair=17327
S104016	Superman: The Man of Steel v2 (2003)	run={"cv": 56984, "gcd": 24612}	P-041.jsonl	new	pair=17327
S104021	Teen Titans: Raven (2019)	run={"cv": 119882, "gcd": 148337}	P-041.jsonl	new	pair=65856
S104019	Teen Titans: Beast Boy (2020)	run={"cv": 129995, "gcd": 163482}	P-041.jsonl	new	pair=65856
S104020	Teen Titans: Beast Boy Loves Raven (2021)	run={"cv": 139227, "gcd": 176362}	P-041.jsonl	new	pair=65856
S104022	Teen Titans: Robin (2023)	run={"cv": 150280, "gcd": 197304}	P-041.jsonl	new	pair=65856
S104023	Teen Titans: Starfire (2024)	run={"cv": 161266, "gcd": 217301}	P-041.jsonl	new	pair=65856
S65857	Teen Titans v5 (2014)	run={"cv": 75697, "gcd": 81831}	P-041.jsonl	new	pair=65856
S104027	Young Justice: Sins of Youth (2000)	run={"cv": 23755, "gcd": 14447}	P-041.jsonl	new	pair=22701
S100135	Superman v2 (1987)	run={"cv": 3816, "gcd": 3386}	P-041.jsonl	new	pair=65813
S66069	The Spectre v1 (1967)	run={"cv": 2339, "gcd": 1795}	P-041.jsonl	new	pair=66071
S101051	Titans v2 (2008)	run={"cv": 21159, "gcd": 30370}	P-041.jsonl	new	pair=101050
S101052	Titans v3 (2016)	run={"cv": 92577, "gcd": 103268}	P-041.jsonl	new	pair=101050
S66314	Wonder Woman v1 (1942)	run={"cv": 18525, "gcd": 277}	P-041.jsonl	new	pair=101470
S17327	moved out -> S104017 "Superman: The Man of Steel v3 (2020)"; S104016 "Superman: The Man of Steel v2 (2003)"	run=-	P-041.jsonl	kept	pair=17327	moved_cv=129773,56984
S65856	moved out -> S104021 "Teen Titans: Raven (2019)"; S104019 "Teen Titans: Beast Boy (2020)"; S104020 "Teen Titans: Beast Boy Loves Raven (2021)"; S104022 "Teen Titans: Robin (2023)"; S104023 "Teen Titans: Starfire (2024)"; S65857 "Teen Titans v5 (2014)"	run=-	P-041.jsonl	kept	pair=65856	moved_cv=119882,129995,139227,150280,161266,75697
S22701	moved out -> S104027 "Young Justice: Sins of Youth (2000)"	run=-	P-041.jsonl	kept	pair=22701	moved_cv=23755
S65813	moved out -> S100135 "Superman v2 (1987)"	run=-	P-041.jsonl	kept	pair=65813	moved_cv=3816
S66071	moved out -> S66069 "The Spectre v1 (1967)"	run=-	P-041.jsonl	kept	pair=66071	moved_cv=2339
S101050	moved out -> S101051 "Titans v2 (2008)"; S101052 "Titans v3 (2016)"	run=-	P-041.jsonl	kept	pair=101050	moved_cv=21159,92577
S101470	moved out -> S66314 "Wonder Woman v1 (1942)"	run=-	P-041.jsonl	kept	pair=101470	moved_cv=18525
