ItemId,PreviousParsedSeriesKey,NewParsedSeriesKey,SeriesIdAtSplit
36271,Astro City,Astro City Metrobook Book,1431
36266,Astro City,Astro City Special (2004),1431
36267,Astro City,Astro City: That Was Then... Special (2022),1431
36268,Astro City,Astro City / Arrowsmith Flip Book (2004),1431
9470,Ben 10,Ben 10: For Science! (2019),2425
9471,Ben 10,Ben 10: Mecha Madness (2019),2425
9472,Ben 10,Ben 10: The Manchester Mystery (2020),2425
9473,Ben 10,Ben 10: The Creature from Serenity Shore (2020),2425
110834,Britannia - The Great Fire of Rome,Britannia: The Great Fire of Rome (2024),3181
35363,Casanova,Casanova: Acedia (2015),3644
35364,Casanova,Casanova: Acedia (2015),3644
110839,Divinity,Divinity II (2016),5571
110841,Divinity,Divinity III: Stalinverse (2016),5571
110840,Divinity,Divinity III: Heroes of the Glorious Stalinverse (2017),5571
111960,Divinity,Divinity #0 (2017),5571
20211,Donald Duck,Walt Disney's Donald Duck (1952),5728
20212,Donald Duck,Walt Disney's Donald Duck (1952),5728
8754,E-Ratic,E-Ratic (2020),5963
27975,Goosebumps,Creepy Creatures,7792
30713,Goosebumps,Goosebumps: Download and Die (2018),7792
30714,Goosebumps,Goosebumps: Horrors of the Witch House (2019),7792
30715,Goosebumps,Goosebumps: Secrets of the Swamp (2020),7792
14504,He-Man and the Masters of the Universe,He-Man and the Lost Dragon (1986),8477
108456,John Carpenter presents Storm Kids,John Carpenter Presents Storm Kids: Fetch (2023),9908
108457,John Carpenter presents Storm Kids,John Carpenter Presents Storm Kids: Hyperbreed (2020),9908
108458,John Carpenter presents Storm Kids,John Carpenter Presents Storm Kids: Monica Bleue - A Werewolf Story (2019),9908
108461,John Carpenter presents Storm Kids,John Carpenter Presents Storm Kids: The Grimms Town Terror Tales - Rise of the Candy Creeper (2021),9908
67606,Justice Leagues,Justice Leagues: Justice League of Aliens (2001),10202
67607,Justice Leagues,Justice Leagues: Justice League of Amazons (2001),10202
67608,Justice Leagues,Justice Leagues: Justice League of Arkham (2001),10202
67609,Justice Leagues,Justice Leagues: Justice League of Atlantis (2001),10202
21918,Kirby - Genesis,Kirby: Genesis (2011),10424
68830,Outsiders: Five of a Kind,Outsiders: Five of a Kind: Katana/Shazam,13476
68831,Outsiders: Five of a Kind,Outsiders: Five of a Kind: Martian Manhunter/Thunder,13476
68832,Outsiders: Five of a Kind,Outsiders: Five of a Kind: Metamorpho/Aquaman,13476
68833,Outsiders: Five of a Kind,Outsiders: Five of a Kind: Wonder Woman/Grace,13476
68032,Legion of Super-Heroes,Legion of Super-Heroes v6 (2010),10690
68033,Legion of Super-Heroes,Legion of Super-Heroes v6 (2010),10690
68031,Legion of Super-Heroes,Legion of Super-Heroes v3 (1984),10690
12814,Predator vs. Judge Dredd vs. Aliens - Incubus and Other Stories,Aliens vs. Predator Omnibus (2007),14065
12815,Predator vs. Judge Dredd vs. Aliens - Incubus and Other Stories,Aliens vs. Predator Omnibus (2007),14065
33943,Revolution,Revolution (2016),14637
32649,Revolution: Heroes,Revolution: Heroes (2017),14637
6714,Scary Christmas 2,Scary Christmas 2 (2021),15143
6715,Scary Christmas 3,Scary Christmas 3 (2022),15143
6716,Scary Christmas 4,Scary Christmas 4 (2023),15143
6717,Scary Christmas V: Killer Claus,Scary Christmas V: Killer Claus (2024),15143
10809,The Amazing World of Gumball,The Amazing World of Gumball OGN - Midsummer Nightmare,17947
10810,The Amazing World of Gumball,The Amazing World of Gumball: Scrimmage Scramble (2018),17947
10811,The Amazing World of Gumball,The Amazing World of Gumball: Spring Break Smash (2019),17947
10812,The Amazing World of Gumball,The Amazing World of Gumball: Tunnel Kingdom (2018),17947
103971,The Dark Tower - The Gunslinger,Dark Tower: The Gunslinger - The Little Sisters of Eluria (2011),18351
103972,The Dark Tower - The Gunslinger,Dark Tower: The Gunslinger - The Battle of Tull (2011),18351
103973,The Dark Tower - The Gunslinger,Dark Tower: The Gunslinger - The Way Station (2012),18351
103974,The Dark Tower - The Gunslinger,Dark Tower: The Gunslinger - The Man in Black (2012),18351
12823,Witchblade Aliens Darkness Predator,Overkill: Witchblade/Aliens/Darkness/Predator (2000),21742
12824,Witchblade Aliens Darkness Predator,Overkill: Witchblade/Aliens/Darkness/Predator (2000),21742
98029,Wolverine and Black Cat - Claws,Claws,21870
99432,I Marvel,I (heart) Marvel: Masked Intentions (2006),23549
99433,I Marvel,I (heart) Marvel: My Mutant Heart (2006),23549
99434,I Marvel,I (heart) Marvel: Outlaw Love (2006),23549
99435,I Marvel,I (heart) Marvel: Web of Romance (2006),23549
10104,Ice Age,"Ice Age: Past, Presents, and Future (2012)",23555
10105,Ice Age,Ice Age: Playing Favorites (2012),23555
10106,Ice Age,Ice Age: The Hidden Treasure (2013),23555
10107,Ice Age,Ice Age: Where There's Thunder (2012),23555
74574,Joker's Asylum,Joker's Asylum: Penguin (2008),23583
74575,Joker's Asylum,Joker's Asylum: Poison Ivy (2008),23583
74576,Joker's Asylum,Joker's Asylum: Scarecrow (2008),23583
74578,Joker's Asylum,Joker's Asylum: Two-Face (2008),23583
100967,Marvel Romance Redux,Marvel Romance Redux: Guys & Dolls (2006),23664
100968,Marvel Romance Redux,Marvel Romance Redux: I Should Have Been a Blonde (2006),23664
100969,Marvel Romance Redux,Marvel Romance Redux: Love Is a Four-Letter Word (2006),23664
100970,Marvel Romance Redux,Marvel Romance Redux: Restraining Orders Are for Other Girls (2006),23664
101026,Marvel Super Hero Adventures,Marvel Super Hero Adventures: Captain Marvel - First Day of School (2018),23665
101028,Marvel Super Hero Adventures,Marvel Super Hero Adventures: Ms. Marvel and the Teleporting Dog (2018),23665
101029,Marvel Super Hero Adventures,Marvel Super Hero Adventures: The Spider-Doctor (2018),23665
101030,Marvel Super Hero Adventures,"Marvel Super Hero Adventures: Webs and Arrows and Ants, Oh My! (2018)",23665
83521,Marvel Monograph,Marvel Monograph: The Art of Arthur Adams - X-Men (2020),24297
83522,Marvel Monograph,Marvel Monograph: The Art of Chris Bachalo (2020),24297
83523,Marvel Monograph,Marvel Monograph: The Art of Ed McGuinness - Deadpool & His Amazing Friends (2019),24297
83525,Marvel Monograph,Marvel Monograph: The Art of Sara Pichelli (2019),24297
53037,Marvel's Avengers,Marvel's Avengers: Black Widow (2020),24299
53038,Marvel's Avengers,Marvel's Avengers: Captain America (2020),24299
53039,Marvel's Avengers,Marvel's Avengers: Hulk (2020),24299
53041,Marvel's Avengers,Marvel's Avengers: Thor (2020),24299
102315,Oz,Ozma of Oz (2011),24302
102316,Oz,Dorothy & the Wizard in Oz (2011),24302
102317,Oz,Road to Oz (2012),24302
102318,Oz,The Emerald City of Oz (2013),24302
102540,Secret Warps,Secret Warps: Weapon Hex Annual (2019),24305
102541,Secret Warps,Secret Warps: Ghost Panther Annual (2019),24305
102542,Secret Warps,Secret Warps: Arachknight Annual (2019),24305
102543,Secret Warps,Secret Warps: Iron Hammer Annual (2019),24305
49041,Wastelanders,Wastelanders: Hawkeye (2022),24316
49042,Wastelanders,Wastelanders: Star-Lord (2022),24316
49043,Wastelanders,Wastelanders: Doom (2022),24316
49044,Wastelanders,Wastelanders: Black Widow (2022),24316
16695,Green Lantern # 40b,DC Sneak Peek: Green Lantern (2015),35332
64882,Green Lantern - Fractured Spectrum,Green Lantern: Fractured Spectrum (2025),35332
64883,Green Lantern - Green Arrow - World's Finest Special,Green Lantern/Green Arrow: World's Finest Special (2025),35332
103614,What If Infinity,What If? Infinity - Guardians of the Galaxy (2015),36688
103615,What If Infinity,What If? Infinity - Inhumans (2015),36688
103616,What If Infinity,What If? Infinity - Thanos (2015),36688
103617,What If Infinity,What If Infinity - X-Men,36688
49143,Women of Marvel,Women of Marvel (2022),58662
49144,Women of Marvel,Women of Marvel (2023),58662
49145,Women of Marvel,Women of Marvel (2024),58662
8181,BLACKGAS,Warren Ellis' Blackgas 2 (2006),1735
8182,BLACKGAS,Warren Ellis' Blackgas 2 (2006),1735
8183,BLACKGAS,Warren Ellis' Blackgas 2 (2006),1735
109601,Broken Gargoyles - Sin and Virtue,Broken Gargoyles: Sin and Virtue (2021),3188
109602,Broken Gargoyles - Sin and Virtue,Broken Gargoyles: Sin and Virtue (2021),3188
109603,Broken Gargoyles - Sin and Virtue,Broken Gargoyles: Sin and Virtue (2021),3188
14319,Canto and the Clockwork Fairies,Canto & the Clockwork Fairies (2020),3383
9604,Clive Barker's Hellraiser - The Dark Watch,Clive Barker's Hellraiser: The Dark Watch (2013),3962
9605,Clive Barker's Hellraiser - The Dark Watch,Clive Barker's Hellraiser: The Dark Watch (2013),3962
24850,Cochlea and Eustachia,Cochlea & Eustachia (2014),4005
