# R-138: identity revisit of wave 131's split shelves (Star Wars 2015 trades S100013, the Star Wars 1977 remnant S16641) and the West Coast Avengers / Avengers West Coast chain (L-390 lead ruling: one run, survivor S101396 stores the chain's FIRST record CV 3521 / GCD 3061; S1629's 79 books join it, each carrying its own AWC-era record on an I line; annuals of either era are residue, L-369)
S 100013 cv=79398 gcd=85861 0.95 | Marvel's 2015-2020 Star Wars ongoing: the thirteen Kileko trades Vol. 01-13 carry judged ranges #1-6 ... #73-75 tiling #1-75, and GCD's own roll-ups on every trade (s85861 #1-6, #7-12, #15-19 ... #73-75) name GCD 85861 "Star Wars" (Marvel 2015-2020, 75); CV 79398 "Star Wars" (Marvel 2015, 75 cached, #1-75) agrees on publisher, year and count; the per-file CV 2914 on 13 files is the 1977 title stamp; the 1pp Skottie Young cover of #1 is residue that costs nothing
N 100013 the trade LINE is GCD 92889 "Star Wars" (Marvel 2015-2020, 13 TPBs) and CV mints one count-1 volume per trade (85139, 87339, 93204, 98075, 102616, 106696, 109625, 112704, 115910, 118271, 120821, 122995, 125821); each is on its trade's I line, the run is the identity (trades vs run)
N 100013 no shelf stores CV 79398 / GCD 85861 today (who-stores: 0 Series rows); S16669 "Star Wars Webcomic - Chapter" carries 40 per-file CV 79398 links, a stamp worth a look in its own batch
I 104183 cv=502137 gcd=1466414 isbn=9780785192138 0.95 | "Star Wars Vol. 01 - Skywalker Strikes" 168pp = GCD 92889 #1 (issue 1466414, 164pp, ISBN 978-0-7851-9213-8) and CV 85139 issue 502137; collects Star Wars 2015 #1-6
I 104184 cv=510954 gcd=1524764 isbn=9780785192145 0.95 | "Star Wars Vol. 02 - Showdown on the Smuggler's Moon" 139pp = GCD 92889 #2 (1524764, 148pp, ISBN 978-0-7851-9214-5) and CV 87339 issue 510954; collects #7-12
I 104185 cv=544994 gcd=1616021 isbn=9780785199830 0.95 | "Star Wars Vol. 03 - Rebel Jail" 144pp = GCD 92889 #3 (1616021, 156pp, ISBN 978-0-7851-9983-0) and CV 93204 issue 544994; collects #15-19 + Annual #1
I 104186 cv=576637 gcd=1667256 isbn=9780785199847 0.95 | "Star Wars Vol. 04 - Last Flight of the Harbinger" 147pp = GCD 92889 #4 (1667256, 156pp, ISBN 978-0-7851-9984-7) and CV 98075 issue 576637; collects #20-25
I 104187 cv=606642 gcd=1720121 isbn=9781302902650 0.95 | "Star Wars Vol. 05 - Yoda's Secret War" 145pp = GCD 92889 #5 (1720121, 156pp, ISBN 978-1-302-90265-0) and CV 102616 issue 606642; collects #26-30 + Annual #2
I 104188 cv=644516 gcd=1762597 isbn=9781302905538 0.95 | "Star Wars Vol. 06 - Out Among The Stars" 161pp = GCD 92889 #6 (1762597, 164pp, ISBN 978-1-302-90553-8) and CV 106696 issue 644516; collects #33-37 + Annual #3
I 104189 cv=664925 gcd=1798077 isbn=9781302910525 0.95 | "Star Wars Vol. 07 - The Ashes of Jedha" 135pp = GCD 92889 #7 (1798077, 148pp, ISBN 978-1-302-91052-5) and CV 109625 issue 664925; collects #38-43
I 104190 cv=679420 gcd=1833453 isbn=9781302910532 0.95 | "Star Wars Vol. 08 - Mutiny At Mon Cala" 131pp = GCD 92889 #8 (1833453, 148pp, ISBN 978-1-302-91053-2) and CV 112704 issue 679420; collects #44-49
I 104191 cv=694929 gcd=1880691 isbn=9781302910549 0.95 | "Star Wars Vol. 09 - Hope Dies" 185pp = GCD 92889 #9 (1880691, 204pp, ISBN 978-1-302-91054-9) and CV 115910 issue 694929; collects #50-55 + Annual #4
I 104192 cv=705931 gcd=1947823 isbn=9781302914493 0.95 | "Star Wars Vol. 10 - The Escape" 130pp = GCD 92889 #10 (1947823, 148pp, ISBN 978-1-302-91449-3) and CV 118271 issue 705931; collects #56-61
I 104193 cv=716972 gcd=2011057 isbn=9781302914509 0.95 | "Star Wars Vol. 11 - The Scourging of Shu-Torun" 139pp = GCD 92889 #11 (2011057, 148pp, ISBN 978-1-302-91450-9) and CV 120821 issue 716972; collects #62-67
I 104194 cv=728439 gcd=2039704 isbn=9781302914516 0.95 | "Star Wars Vol. 12 - Rebels And Rogues" 113pp = GCD 92889 #12 (2039704, 124pp, ISBN 978-1-302-91451-6) and CV 122995 issue 728439; collects #68-72
I 104195 cv=742428 gcd=2267157 isbn=9781302921682 0.95 | "Star Wars Vol. 13 - Rogues And Rebels" 126pp = GCD 92889 #13 (2267157, 132pp, ISBN 978-1-302-92168-2) and CV 125821 issue 742428; collects #73-75 + Empire Ascendant #1
I 52020 cv=475858 gcd=1307537 isbn=- 0.9 | "Star Wars 001 (2015) (Skottie Young variant)" is a 1pp cover of Star Wars (2015) #1: CV 79398 issue 475858, GCD 85861 issue 1307537 (variant cover only)
C 104185 cv=86555 gcd=94725 #1-1 0.95 | Rebel Jail also collects Star Wars Annual (Marvel 2015/2016, 4 issues; CV 86555 / GCD 94725) #1, per GCD's roll-up of issue 1616021 (s94725 #1, 3 stories)
C 104187 cv=86555 gcd=94725 #2-2 0.95 | Yoda's Secret War also collects Star Wars Annual (Marvel 2015/2016, 4 issues; CV 86555 / GCD 94725) #2, per GCD's roll-up of issue 1720121 (s94725 #2, 3 stories)
C 104188 cv=86555 gcd=94725 #3-3 0.95 | Out Among the Stars also collects Star Wars Annual (Marvel 2015/2016, 4 issues; CV 86555 / GCD 94725) #3, per GCD's roll-up of issue 1762597 (s94725 #3, 3 stories)
C 104191 cv=86555 gcd=94725 #4-4 0.95 | Hope Dies also collects Star Wars Annual (Marvel 2015/2016, 4 issues; CV 86555 / GCD 94725) #4, per GCD's roll-up of issue 1880691 (s94725 #4, 4 stories)
C 104195 cv=123713 gcd=153715 #1-1 0.95 | Rogues and Rebels also collects the one-shot Star Wars: Empire Ascendant (Marvel 2019/2020, 1 issue; CV 123713 / GCD 153715) #1, per GCD's roll-up of issue 2267157
S 16641 cv=2914 gcd=2406 0.9 | what stayed is Marvel's 1977 Star Wars: CV 2914 (Marvel 1977, 108, cached #1-108 incl. the 2019 #108 issue 710117) and GCD 2406 (Marvel 1977-1986, 107) agree on publisher, start year and run; our #38 (1980 b&w, 18pp) and #108 (2019, 48pp, ComicInfo Volume 2019 = GCD one-shot 146179) sit inside CV's span; 0.9 for residue that is a different record: Annual #3 (CV 3013 / GCD 2519) and two rips of the 2019 "Star Wars No 1 Facsimile Edition" (CV 123267 / GCD 153348)
N 16641 GCD files the 2019 #108 as its own one-shot series 146179 while CV keeps it as #108 of 2914; the facsimile (CV 123267 / GCD 153348, both 1-issue, stored by no shelf) is a reprint of #1, residue here until a facsimile shelf exists
I 104173 cv=20609 gcd=34628 isbn=- 0.95 | "Star Wars 038 (1980) b&w" 18pp is Star Wars (1977) #38: CV 2914 issue 20609, GCD 2406 issue 34628 (36pp printed; b&w scan of the story pages)
