# R-132 — triaged 0.9 tier re-read: 34 shelves, eight manga / Markosia shelves and 26 Marvel (Star Wars + #MARVEL CURRENT ONGOING TITLES) shelves, each already carrying an older 0.9 line. Most re-reads confirm the run and add the missing I lines; several correct a stored GCD leg that was the TRADE line or a foreign edition (Carnage 211796, Immortal Thor 210015, Incredible Hulk 207950, Star Wars 2020 174003, Kanan 93597, Scarlet Witch 203412, Daredevil 207588 [fr]) and find run CV ids the older lines lacked (Avengers 2023 150431, Incredible Hulk 2023 151522, Star Wars 2020 123860, Kanan 81088).
# Folder conventions: "#MARVEL CURRENT ONGOING TITLES\<Title> vN (<year>)" holds the run's issue files, its "by <creator> Vol. NN" trades and a "Variant Covers" subfolder of 1pp MikeNY76 packs — the packs cost nothing, but they are also where other runs' covers leak in (2018 ASM, 2022 Daredevil, 2018 Avengers covers sit in the 2022/2023 folders by title alone). "Annuals and Specials" subfolders put the run's annual on the shelf: residue, 0.9.
# Surprises: the Star Wars shelf S16641 is 207 Star Wars Insider magazine issues + 11 Best of Star Wars Insider books with NO record in either catalog, filed under the 1977 Marvel run's ids; Ranma 1/2's 38 files match no English edition's count.

# --- S9520 Inuyasha (VIZBIG)
S 9520 cv=47016 gcd=44427 0.95 | CV 47016 "Inuyasha" (Viz 2009, 18, #1 2009-11 … #18 2014-01) and GCD 44427 "InuYasha (Vizbig Edition)" (Viz 2009-2014, 18 rows, #3 2010-05-12 … #18 2014-02-19) agree on publisher, span and count, and our eighteen "COL Inuyasha v01-v18 (VIZBIG Edition)" dated 2009-2014 fill both exactly; the older line's "GCD indexes no Viz Inuyasha" missed 44427 (the dump files it with the "(Vizbig Edition)" suffix)
N 9520 the older F provider-missing is withdrawn: GCD 44427 is the VIZBIG line; 19895 is Viz's 56-volume standard edition and 132179 the French Dargaud edition the per-file matcher stamped on 13 files
I 46054 cv=323468 gcd=731392 isbn=- 0.9 | "COL Inuyasha v01 (2009) (VIZBIG Edition)" 560pp = CV 47016 #1 issue 323468 (2009-11-01) and GCD 44427 #1 row 731392 by ordinal; the GCD row carries no date, pages or ISBN
I 46055 cv=323469 gcd=731393 isbn=- 0.9 | "COL Inuyasha v02 (2010) (VIZBIG Edition)" 556pp = CV 47016 #2 issue 323469 (2010-02-01) and GCD 44427 #2 row 731393 by ordinal; the GCD row carries no date, pages or ISBN
I 46056 cv=323470 gcd=1161334 isbn=- 0.95 | "COL Inuyasha v03 (2010) (VIZBIG Edition)" = CV 47016 #3 issue 323470 (2010-05-01) and GCD 44427 #3 row 1161334 (2010-05-12), ordinal and date agree (GCD's ISBN field is malformed)
I 46057 cv=323471 gcd=1161369 isbn=978-1-4215-3283-7 0.95 | "COL Inuyasha v04 (2010) (VIZBIG Edition)" = CV 47016 #4 issue 323471 (2010-08-01) and GCD 44427 #4 row 1161369 (2010-08-11, ISBN 978-1-4215-3283-7)
I 46058 cv=323472 gcd=1161383 isbn=978-1-4215-3284-4 0.95 | "COL Inuyasha v05 (2010) (VIZBIG Edition)" = CV 47016 #5 issue 323472 (2010-11-01) and GCD 44427 #5 row 1161383 (2010-11-10, ISBN 978-1-4215-3284-4)
I 46059 cv=323473 gcd=1161384 isbn=978-1-4215-3285-1 0.95 | "COL Inuyasha v06 (2011) (VIZBIG Edition)" = CV 47016 #6 issue 323473 (2011-02-01) and GCD 44427 #6 row 1161384 (2011-02-09, ISBN 978-1-4215-3285-1)
I 46060 cv=323474 gcd=1161386 isbn=978-1-4215-3286-8 0.95 | "COL Inuyasha v07 (2011) (VIZBIG Edition)" = CV 47016 #7 issue 323474 (2011-05-01) and GCD 44427 #7 row 1161386 (2011-05-11, ISBN 978-1-4215-3286-8)
I 46061 cv=323475 gcd=1161390 isbn=978-1-4215-3287-5 0.95 | "COL Inuyasha v08 (2011) (VIZBIG Edition)" = CV 47016 #8 issue 323475 (2011-06-01) and GCD 44427 #8 row 1161390 (2011-08-10, ISBN 978-1-4215-3287-5)
I 46062 cv=323476 gcd=1161392 isbn=978-1-4215-3288-2 0.95 | "COL Inuyasha v09 (2011) (VIZBIG Edition)" = CV 47016 #9 issue 323476 (2011-11-01) and GCD 44427 #9 row 1161392 (2011-11-09, ISBN 978-1-4215-3288-2)
