# R-128 — the triaged 0.9 tier, 45 manga shelves. Almost every shelf was triaged for signal `c` ("judged range does
# not fit the S run"): the containment pass judged CHAPTER ranges (v01 #1-7 …) while both catalogs count VOLUMES, so
# the misfit is the unit, not the identity (L-283/L-284: no chapter-indexed run exists; the books ARE the run, no C
# lines). The re-read found real errors on nine shelves, all the L-383 shape — a stored link on the JAPANESE (or
# Square Enix) CV line while an English-publisher volume dated with our files sits in the rip: Dandadan (Viz 145549),
# Final Fantasy Lost Stranger (Yen 112931), Giant Killing (Kodansha USA 99428), MoMo (Seven Seas 144739), Innocent
# (Dark Horse omnibus 157999), and three "ComicVine has no volume" claims that were wrong: Domu (Dark Horse 23070),
# Fist of the North Star (Viz 2021 136896), March Comes in Like a Lion (Denpa 150064). Death Note's v09-v13 I lines
# carried the wrong GCD rows (the packet's ⚠ stored-row warnings). Stone Ocean gains its Japanese GCD leg (206718).
# Every other shelf is restated as read, its prior I lines carried forward after checking them against the packet.

# --- S4760 Dandadan
S 4760 cv=145549 gcd=190566 0.9 | Viz's English Dandadan: CV 145549 (Viz 2022, cached #1-16, #1 dated 2022-10-17) and GCD 190566 (Viz 2022-?, 18 rows, ISBNs 978-1-9747-3463-4 upward) agree on publisher and start year, and our nine COL v01-v09 dated 2022-2024 meet #1-9 by ordinal with dates in step (v09 = 2024-10) and pages within ~25pp; the 93 chapter files 077-169 (16-23pp, 2022-2024) are the digital chapters past volume 9 of the same comic; 0.9 because a chapter ladder cannot be checked against a volume count and CV 145549 has no CvVolume row
F 4760 wrong-cv-link | stored cv 138036 "Dandadan" 2021 Shueisha is the Japanese original (issue #1 2021-08-09 "Volume 1"); C-034's I lines put its issue ids (876838 …) on our English Viz books — L-383, the English edition is CV 145549
F 4760 needs-fetch cv=145549 | the Viz volume is named from the local ComicVine rip (15 issues, 16 cached) with no CvVolume row
N 4760 triage c: the judged ranges #1-5 … #68-76 are chapter numbers across nine volumes; both legs count volumes and neither indexes a chapter run, so no C lines (L-283/L-284) and the misfit is the unit, not the identity
I 44371 cv=951200 gcd=2444708 isbn=978-1-9747-3463-4 0.95 | our v01 (207pp) = CV 145549 (Viz 2022) #1 issue 951200 (2022-10-17) and GCD 190566 (Viz 2022-?) #1 row 2444708 (212pp) by ordinal; Viz's English Dandadan
I 44372 cv=951605 gcd=2479745 isbn=978-1-9747-3530-3 0.95 | our v02 (196pp) = CV 145549 (Viz 2022) #2 issue 951605 (2023-01-01) and GCD 190566 (Viz 2022-?) #2 row 2479745 (214pp) by ordinal; Viz's English Dandadan
I 44373 cv=982499 gcd=2524657 isbn=978-1-9747-3531-0 0.9 | our v03 (198pp) = CV 145549 (Viz 2022) #3 issue 982499 (2023-04-12) and GCD 190566 (Viz 2022-?) #3 row 2524657 (220pp) by ordinal; Viz's English Dandadan
I 44374 cv=1000467 gcd=2555662 isbn=978-1-9747-3744-4 0.95 | our v04 (205pp) = CV 145549 (Viz 2022) #4 issue 1000467 (2023-07-12) and GCD 190566 (Viz 2022-?) #4 row 2555662 (220pp) by ordinal; Viz's English Dandadan
I 44375 cv=1024104 gcd=2572575 isbn=978-1-9747-4059-8 0.95 | our v05 (208pp) = CV 145549 (Viz 2022) #5 issue 1024104 (2023-10-09) and GCD 190566 (Viz 2022-?) #5 row 2572575 (222pp) by ordinal; Viz's English Dandadan
I 44376 cv=1039774 gcd=2611454 isbn=978-1-9747-4283-7 0.9 | our v06 (179pp) = CV 145549 (Viz 2022) #6 issue 1039774 (2024-01-08) and GCD 190566 (Viz 2022-?) #6 row 2611454 (206pp) by ordinal; Viz's English Dandadan
I 44377 cv=1051080 gcd=2626241 isbn=978-1-9747-4339-1 0.95 | our v07 (189pp) = CV 145549 (Viz 2022) #7 issue 1051080 (2024-04-08) and GCD 190566 (Viz 2022-?) #7 row 2626241 (204pp) by ordinal; Viz's English Dandadan
I 44378 cv=1063246 gcd=2650169 isbn=978-1-9747-4601-9 0.95 | our v08 (186pp) = CV 145549 (Viz 2022) #8 issue 1063246 (2024-07-15) and GCD 190566 (Viz 2022-?) #8 row 2650169 (204pp) by ordinal; Viz's English Dandadan
I 44379 cv=1073850 gcd=2667470 isbn=978-1-9747-4897-6 0.95 | our v09 (186pp) = CV 145549 (Viz 2022) #9 issue 1073850 (2024-10-14) and GCD 190566 (Viz 2022-?) #9 row 2667470 (206pp) by ordinal; Viz's English Dandadan

# --- S5203 Death Note
S 5203 cv=20261 gcd=28547 0.95 | Viz's English Death Note: CV 20261 (Viz 2005, 13) and GCD 28547 (Viz 2005-2009, 12) agree on publisher and start year, and each of our twelve story volumes carries its row's own subtitle (Boredom, Confluence, Hard Run … Kindred Spirits, Finis) with pages within 10pp (v01 198/204, v12 214/220); the thirteenth book "How to Read" (256pp) is CV 20261's #13 and GCD's separate one-book series 93409 — the count difference is that companion, explained
N 5203 C-034's GCD ids for v09-v13 were wrong: v09/v10 carried 1450182/1450183 (2007/2009 reprint rows of #8) and v11-v13 each carried the PREVIOUS volume's row (the packet's ⚠ stored GCD row warnings) — the I lines below match by subtitle
N 5203 flag #703 provider-disagrees (item 41725): LOCG's degenerate one-chapter spans on vols 6-9 are a LOCG artefact; the thirteen files are one Viz line and the flag does not touch the identity
N 5203 triage c: the judged ranges #1-7 … #99-108 are chapter numbers; both legs count volumes, no chapter run exists (L-284), no C lines
I 41728 cv=124909 gcd=403699 isbn=978-1-4215-0630-2 0.95 | "Vol. 09 - Contact" 196pp = CV 20261 #9 issue 124909 "Contact" and GCD 28547 #9 row 403699 "Contact" (2007-01, 204pp) by subtitle
I 41729 cv=124912 gcd=403700 isbn=978-1-4215-1155-9 0.95 | "Vol. 10 - Deletion" 190pp = CV 20261 #10 issue 124912 "Delete" and GCD 28547 #10 row 403700 "Deletion" (2007-03, 196pp) by subtitle
I 41730 cv=124914 gcd=403701 isbn=978-1-4215-1178-8 0.95 | "Vol. 11 - Kindred Spirits" 214pp = CV 20261 #11 issue 124914 "Kindred Spirit" and GCD 28547 #11 row 403701 "Kindred Spirit" (2007-05, 220pp) by subtitle
I 41731 cv=124915 gcd=403702 isbn=978-1-4215-1327-0 0.95 | "Vol. 12 - Finis" 214pp = CV 20261 #12 issue 124915 "Finis" and GCD 28547 #12 row 403702 "Finis" (2007-07, 220pp) by subtitle
I 41732 cv=129856 gcd=1486970 isbn=978-1-4215-1888-6 0.9 | "Vol. 13 - How to Read" 256pp = CV 20261 #13 issue 129856 "Volume 13: How To Read" (2008-02) and GCD 93409 "Death Note How to Read 13" (Viz 2008) row 1486970 (2008-02, 286pp); 0.9 for the 30pp gap

I 41720 cv=120949 gcd=403691 0.9 | ordinal position 1 of 13 in Viz's Death Note (CV 20261/GCD 28547, English); GCD's cached count (12) is one short of our 13 because vol. 13 'How to Read' is a companion book GCD indexes separately or not at all
I 41721 cv=124911 gcd=403692 0.9 | ordinal position 2 of 13 in Viz's Death Note (CV 20261/GCD 28547, English); GCD's cached count (12) is one short of our 13 because vol. 13 'How to Read' is a companion book GCD indexes separately or not at all
I 41722 cv=124899 gcd=403693 0.9 | ordinal position 3 of 13 in Viz's Death Note (CV 20261/GCD 28547, English); GCD's cached count (12) is one short of our 13 because vol. 13 'How to Read' is a companion book GCD indexes separately or not at all
I 41723 cv=124902 gcd=403694 0.9 | ordinal position 4 of 13 in Viz's Death Note (CV 20261/GCD 28547, English); GCD's cached count (12) is one short of our 13 because vol. 13 'How to Read' is a companion book GCD indexes separately or not at all
I 41724 cv=124903 gcd=403695 0.9 | ordinal position 5 of 13 in Viz's Death Note (CV 20261/GCD 28547, English); GCD's cached count (12) is one short of our 13 because vol. 13 'How to Read' is a companion book GCD indexes separately or not at all
I 41725 cv=124904 gcd=403696 0.9 | ordinal position 6 of 13 in Viz's Death Note (CV 20261/GCD 28547, English); GCD's cached count (12) is one short of our 13 because vol. 13 'How to Read' is a companion book GCD indexes separately or not at all
I 41726 cv=124905 gcd=403697 0.9 | ordinal position 7 of 13 in Viz's Death Note (CV 20261/GCD 28547, English); GCD's cached count (12) is one short of our 13 because vol. 13 'How to Read' is a companion book GCD indexes separately or not at all
I 41727 cv=124907 gcd=403698 0.9 | ordinal position 8 of 13 in Viz's Death Note (CV 20261/GCD 28547, English); GCD's cached count (12) is one short of our 13 because vol. 13 'How to Read' is a companion book GCD indexes separately or not at all
# --- S5436 Devilman
S 5436 cv=39184 gcd=- 0.9 | Go Nagai's Devilman: CV 39184 "Devilman" (Kodansha 1972, 5) is our five COL v01-v05 (1972-1973, 187-252pp, c2c) by count and years, the ladder 1-5 being the volume ordinals; no GCD row holds the Kodansha tankobon (the 5-count rows are Dynamic Visions [fr-be] 226376, Black Box [fr] 226500 / 226522, Egmont [de] 212736); 0.9 for one leg and the two Verotik issues split below
F 5436 split-needed | items 42107-42108 "Devilman 001-002 (1995)" (38/39pp, subfolder "Shin Devilman (1995) (Verotik)") -> new key "Devilman (1995)": Verotik's English comic, CV 62479 (Verotik 1995, 3) = GCD 23151 (Verotik 1995-1996, 6, rows 46pp / 44pp); --who-stores cv=62479 finds no shelf; restates C-034's F misfiled as L-368
I 42107 cv=407204 gcd=350685 isbn=- 0.95 | "Devilman 001 (1995)" 38pp = CV 62479 #1 issue 407204 (1995-06) and GCD 23151 #1 row 350685 (1995-06, 46pp), Verotik
I 42108 cv=633040 gcd=350686 isbn=- 0.95 | "Devilman 002 (1995)" 39pp = CV 62479 #2 issue 633040 (1995-09) and GCD 23151 #2 row 350686 (1995-09-10, 44pp), Verotik

I 42102 cv=264351 gcd=- 0.9 | ordinal position 1 of 5 in Kodansha's Devilman (CV 39184, 5 volumes, matches our 5 files); GCD's dump holds only French/German editions, no English row
